Ticker,Archetype,Name,Price,EV/FCF,EV/Revenue,FCF Margin,Op Margin,Gross Margin,GM Trend (3Y),Rev CAGR (3Y),Rev Growth (YoY),ROIC Trend (3Y),FCF Margin Trend (3Y),Rule of 40,NRR,R&D Intensity,Revenue per Employee ($K),Net Debt/EBITDA,Interest Coverage,Last Updated
AMZN,Hyperscaler,"Amazon.com, Inc.",254.98,894.32,3.71,0.4,13.7,50.8,6.5,11.7,19.6,8.9,4.4,20.0,,,486.3,0.76,74.28,2026-09-22
MSFT,Hyperscaler,Microsoft Corporation,498.0,226.64,11.3,5.0,45.1,67.9,-1.0,16.1,17.7,-2.4,-7.9,22.7,,10.7,1488.1,0.27,63.66,2026-09-22
GOOGL,Hyperscaler,Alphabet Inc.,351.16,184.12,9.36,5.1,34.0,60.9,4.3,12.5,24.2,-0.2,-3.0,29.3,,13.7,2241.3,-0.7,235.28,2026-09-22
ORCL,Hyperscaler,Oracle Corporation,149.2,,8.13,-63.9,35.6,64.0,-7.0,10.5,29.6,-2.3,-52.1,-34.3,,14.3,509.0,3.84,7.49,2026-09-22
ANET,Network_Hardware,"Arista Networks, Inc.",205.19,63.07,23.29,36.9,45.4,63.0,3.0,27.1,37.7,-1.0,37.0,74.6,,11.7,2060.8,-2.88,,2026-09-22
VRT,Data_Center_Infra,"Vertiv Holdings, LLC",253.46,36.27,8.52,23.5,20.4,38.0,7.9,21.6,24.1,17.3,23.1,47.6,,,337.6,0.08,31.11,2026-09-22
SMCI,Data_Center_Infra,"Super Micro Computer, Inc.",41.54,,0.73,-21.1,13.4,10.8,-7.2,76.3,93.2,-17.0,-26.6,72.1,,2.0,5580.4,0.61,14.51,2026-09-22
CLS,Data_Center_Infra,"Celestica, Inc.",356.09,62.2,2.91,4.7,9.8,12.0,3.1,19.6,62.4,20.6,2.3,67.1,,0.8,655.1,0.28,29.69,2026-09-22
NBIS,Neocloud,Nebius Group N.V.,236.12,,45.83,-709.5,-0.2,74.3,179.0,239.8,454.0,-2.8,-5749.6,-255.5,,13.1,878.2,8.35,4.2,2026-09-22
CRWV,Neocloud,"CoreWeave, Inc.",86.76,,12.37,-119.7,-1.9,67.4,48.3,586.9,112.5,,310.3,-7.2,,,3467.3,12.16,3.08,2026-09-22
IREN,Power_Campus,IREN LIMITED,48.55,,29.81,-596.8,-102.5,68.9,34.4,110.8,-26.7,7.9,-186.3,-623.5,,,1032.1,50.69,0.65,2026-09-22
APLD,Power_Campus,Applied Digital Corporation,28.54,,19.01,-811.6,-48.2,25.9,5.9,122.6,406.6,29.6,-323.2,-405.0,,,2387.9,,-3.63,2026-09-22
